task,original_mask,reviewed_mask,count
group,1100,1000,0
group,1100,1001,0
group,1100,1010,0
group,1100,1011,0
group,1100,1100,1
group,1100,1101,0
group,1100,1110,0
group,1100,1111,0
group,1101,0000,0
group,1101,0001,0
group,1101,0010,0
group,1101,0011,0
group,1101,0100,0
group,1101,0101,0
group,1101,0110,0
group,1101,0111,0
group,1101,1000,0
group,1101,1001,0
group,1101,1010,0
group,1101,1011,0
group,1101,1100,0
group,1101,1101,0
group,1101,1110,0
group,1101,1111,0
group,1110,0000,0
group,1110,0001,0
group,1110,0010,0
group,1110,0011,0
group,1110,0100,0
group,1110,0101,0
group,1110,0110,0
group,1110,0111,0
group,1110,1000,0
group,1110,1001,0
group,1110,1010,0
group,1110,1011,0
group,1110,1100,0
group,1110,1101,0
group,1110,1110,0
group,1110,1111,0
group,1111,0000,4
group,1111,0001,0
group,1111,0010,0
group,1111,0011,0
group,1111,0100,0
group,1111,0101,0
group,1111,0110,0
group,1111,0111,0
group,1111,1000,0
group,1111,1001,0
group,1111,1010,0
group,1111,1011,0
group,1111,1100,0
group,1111,1101,0
group,1111,1110,0
group,1111,1111,7
