job_id	comparison	layer0	probe_pre	probe_mid	probe_post	increment_attention	increment_mlp	branch_attention	branch_mlp	scale_attention	scale_mlp	rounding_attention	rounding_mlp
J05-D01-upstream	minus-native	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-D01-upstream	minus-native	18	0.0	0.001519232988357544	0.005615115165710449	0.001519232988357544	0.004095882177352905	0.0015299503653389834	0.004266855312402118	-1.1116088446762318e-05	-0.00017041488880631395	3.9871146532283186e-07	-5.582462428987967e-07
J05-D01-upstream	minus-native	19	0.005615115165710449	-0.0005860328674316406	0.024773478507995605	-0.00620114803314209	0.025359511375427246	-0.005898836124123452	0.024781073857904387	-0.0003013385464022411	0.0005781882011903217	-9.73362616396578e-07	2.4931633252345264e-07
J05-D01-upstream	minus-native	20	0.024773478507995605	0.0563126802444458	0.08545947074890137	0.031539201736450195	0.029146790504455566	0.035718138301713345	0.030085915607009156	-0.004178493472322464	-0.0009391852689702995	-4.4309294072730765e-07	6.016641670991696e-08
J05-D01-upstream	minus-native	21	0.08545947074890137	0.20340728759765625	0.06875908374786377	0.11794781684875488	-0.13464820384979248	0.1172912799655268	-0.12586237753015428	0.0006567680453575253	-0.008787027437658357	-2.3116212943818937e-07	1.201118020155434e-06
J05-D01-upstream	minus-native	22	0.06875908374786377	0.17321646213531494	0.31262850761413574	0.10445737838745117	0.1394120454788208	0.11303489866348038	0.15546034011186682	-0.008577893908708223	-0.016047823233171624	3.7363267901824315e-07	-4.713998743993697e-07
J05-D01-upstream	minus-native	23	0.31262850761413574	0.445431113243103	1.2107183337211609	0.13280260562896729	0.7652872204780579	0.1767724576830665	0.8211612734880998	-0.043969612415121206	-0.05587393441302077	-2.396389779946162e-07	-1.1859702112038129e-07
J05-D01-upstream	minus-native	24	1.2107183337211609	1.2047269344329834	1.4549767971038818	-0.00599139928817749	0.25024986267089844	0.12368757727240509	0.37984662733420604	-0.1296807471545922	-0.1295937839182738	1.77059400963131e-06	-2.9807450337981933e-06
J05-D01-upstream	minus-native	25	1.4549767971038818	1.3760577291250229	1.3184036612510681	-0.07891906797885895	-0.05765406787395477	-0.02766615909404946	0.04893730331003221	-0.05125331512218956	-0.10659578501790234	4.0623738006839716e-07	4.4138339153620976e-06
J05-D01-upstream	minus-native	26	1.3184036612510681	1.7414826154708862	1.740699291229248	0.4230789542198181	-0.0007833242416381836	0.5376824231766362	0.24001516212527418	-0.11460154273538614	-0.24079885616507068	-1.9262214319137883e-06	3.6979815831728047e-07
J05-D01-upstream	minus-native	27	1.740699291229248	1.7259316444396973	1.3076295852661133	-0.014767646789550781	-0.418302059173584	-0.00535612290699472	-0.25363774367977177	-0.009411868746008079	-0.16466098955513497	3.448634520175631e-07	-3.325938677134488e-06
J05-D01-upstream	minus-native	28	1.3076295852661133	1.4754180908203125	2.118000030517578	0.16778850555419922	0.6425819396972656	0.21597223135581478	0.810812120912044	-0.04818780092211272	-0.16822255978865996	4.0751204971600785e-06	-7.621426118431529e-06
