request_id	group	label	visible	visible_tokens	mean_head_mass	mean_head_density	mean_head_AV_norm	source_output_norm	local_direction_projection
hpm-Q01-D01	definition_original	原释义子句	True	21	0.004229361644677449	0.00020139817355606902	0.04604118904157673	0.9731067015267847	-0.002687822061760047
hpm-Q01-D01	definition_ordinary	普通义子句	False	0					
hpm-Q01-D01	definition_scaffold	释义连接／边界	False	0					
hpm-Q01-D01	query_focal	查询词形	True	2	0.0076141913281409295	0.0038070956640704648	0.17655929145191354	3.9118403107107196	0.006571984899924854
hpm-Q01-D01	query_quote_other	引文其他token	False	0					
hpm-Q01-D01	query_rejection	反对段	False	0					
hpm-Q01-D01	query_other	查询其他／边界	True	8	0.012959440405508013	0.0016199300506885017	0.1666381470283715	2.6863384102128016	0.007038173032963716
hpm-Q01-D01	remainder	其余上下文	True	782	0.9751970107696231	0.0012470550009841728	3.086269849058362	37.70735372823163	-0.32311627694308404
hpm-Q01-D02	definition_original	原释义子句	False	0					
hpm-Q01-D02	definition_ordinary	普通义子句	True	21	0.004234052855832952	0.00020162156456347385	0.05101590589410922	1.063386677299543	0.005022306053567858
hpm-Q01-D02	definition_scaffold	释义连接／边界	False	0					
hpm-Q01-D02	query_focal	查询词形	True	2	0.008166416622626408	0.004083208311313204	0.21879894142221545	4.823332620128396	0.010885577066691444
hpm-Q01-D02	query_quote_other	引文其他token	False	0					
hpm-Q01-D02	query_rejection	反对段	False	0					
hpm-Q01-D02	query_other	查询其他／边界	True	8	0.014431135692690143	0.0018038919615862678	0.22102900067111186	3.879097645240365	0.007851874394970587
hpm-Q01-D02	remainder	其余上下文	True	782	0.973168394568355	0.0012444608626193804	3.1220052822954054	37.7909905843347	0.7251397567250593
hpm-Q01-D03	definition_original	原释义子句	True	21	0.004292852689449155	0.000204421556640436	0.04824356989375447	1.0179281554062853	-0.0018338765469007566
hpm-Q01-D03	definition_ordinary	普通义子句	True	21	0.0027201986933366126	0.00012953327111126726	0.027478613775021067	0.5475027123777295	-0.0001748789769210834
hpm-Q01-D03	definition_scaffold	释义连接／边界	True	1	0.0011485233777932026	0.0011485233777932026	0.013035214322615249	0.284326102599861	-0.0017878303193735
hpm-Q01-D03	query_focal	查询词形	True	2	0.00757841202380138	0.00378920601190069	0.17920679057441588	4.003128607943328	0.011778807308062265
hpm-Q01-D03	query_quote_other	引文其他token	False	0					
hpm-Q01-D03	query_rejection	反对段	False	0					
hpm-Q01-D03	query_other	查询其他／边界	True	8	0.01348572147987272	0.00168571518498409	0.18722729261518814	3.1078049359630517	0.007230910925520396
hpm-Q01-D03	remainder	其余上下文	True	782	0.9707743007238684	0.0012413993615394735	3.07591634365145	37.7071073317804	-0.185342946844194
hpm-Q01-D04	definition_original	原释义子句	True	21	0.0033793706241441314	0.00016092241067353004	0.04082868656795716	0.9125131332481798	-0.0037692051756461706
hpm-Q01-D04	definition_ordinary	普通义子句	True	21	0.0032973783120836	0.00015701801486112379	0.030223542976226425	0.611544341017115	0.00013934372612220715
hpm-Q01-D04	definition_scaffold	释义连接／边界	True	1	0.0005949399126712822	0.0005949399126712822	0.004149771835507257	0.07884561002331741	3.165310265779167e-05
