schema_version,contrast,task,metric,n,difference,ci95_low,ci95_high,analysis_kind,interval,repetitions,seed,rng,quantile_method
general-model-nolabel-paired-cases/v1,NoCat_without_D,hate,macro_f1,643,0.010672985639922083,-0.011670610138604284,0.032826251748053044,original_endpoint_check,pointwise-descriptive-unadjusted,10000,42,PCG64,linear
general-model-nolabel-paired-cases/v1,NoCat_without_D,group,micro_f1,643,-0.07439255146777735,-0.11541526988784048,-0.03465544324123015,original_endpoint_check,pointwise-descriptive-unadjusted,10000,42,PCG64,linear
general-model-nolabel-paired-cases/v1,NoCat_with_D,hate,macro_f1,643,0.044731349804361664,0.017918257075807725,0.07216829460979088,original_endpoint_check,pointwise-descriptive-unadjusted,10000,42,PCG64,linear
general-model-nolabel-paired-cases/v1,NoCat_with_D,group,micro_f1,643,0.01227114065873447,-0.011852356080025985,0.03547676476577601,original_endpoint_check,pointwise-descriptive-unadjusted,10000,42,PCG64,linear
