Configuration,Target_Group_Precision,Target_Group_Recall,Target_Group_F1,Hateful_Precision,Hateful_Recall,Hateful_F1,Triple_Hard,Triple_Soft,Triple_Avg
deepseek-llm-7b-chat,0.6417,0.6083,0.6246,0.7415,0.7029,0.7217,0.1916,0.38,0.2858
deepseek_v32,0.5791,0.4579,0.5115,0.6835,0.5405,0.6036,0.1098,0.2877,0.1988
glm3,0.6395,0.6073,0.623,0.7442,0.7066,0.7249,0.1796,0.3732,0.2764
glm4,0.6765,0.6772,0.6768,0.7453,0.7461,0.7457,0.2218,0.4319,0.3268
gpt,0.5088,0.122,0.1968,0.6031,0.1446,0.2332,0.0356,0.1043,0.0699
llama3,0.6973,0.6951,0.6962,0.7843,0.7818,0.783,0.267,0.4724,0.3697
qwen2.5,0.6892,0.6493,0.6687,0.7924,0.7466,0.7688,0.2382,0.4304,0.3343
qwen3-max,0.5926,0.4611,0.5186,0.6953,0.541,0.6085,0.0852,0.2691,0.1772
qwen3,0.6397,0.6309,0.6353,0.7473,0.7371,0.7422,0.2017,0.4092,0.3054
