contrast_id,role,cross_query,view,effect,numeric_bound,direction,statistical_interval,ncc_background_cancels,cancellation_residual,terms
FD-3169-Q01-F1-O-delta,within_query_word_pair,False,leave_one_out/space,0.2598096536401062,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""}]"
FD-3169-Q01-F1-O-delta,within_query_word_pair,False,leave_one_out/na,0.28226240461691,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""}]"
FD-3169-Q01-F1-O-delta,within_query_word_pair,False,leave_one_out/mask,0.27217190800655056,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""}]"
FD-3169-Q01-F1-O-delta,within_query_word_pair,False,leave_one_out/lorem,0.27762400628736517,0.00537109375,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""}]"
FD-3169-Q01-F1-O-delta,within_query_word_pair,False,ab_symmetric_sum,1.5881595611572266,0.002685546875,positive,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""}]"
FD-3169-Q01-F1-O-delta,within_query_word_pair,False,ab_mapping_gap_sum,-1.3409461975097656,0.00537109375,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,original/answer_sum,-0.014240264892578125,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,original/answer_mean,-0.0047452290852865175,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,original/total_with_eos,-0.014240264892578125,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
FD-3169-Q01-F1-N1-delta,within_query_word_pair,False,original/mean_with_eos,-0.003559112548828125,0.002685546875,negative,False,False,null,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-N1-H""}]"
