job_id	comparison	layer0	probe_pre	probe_mid	probe_post	increment_attention	increment_mlp	branch_attention	branch_mlp	scale_attention	scale_mlp	rounding_attention	rounding_mlp
T01-D01-upstream	minus-native	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T01-D01-upstream	minus-native	18	0.0	0.001162111759185791	-0.002462148666381836	0.001162111759185791	-0.003624260425567627	0.0011894473635667424	-0.003291326373656478	-2.6790622402267372e-05	-0.0003334499551161385	-5.449819786840226e-07	5.159032049895096e-07
T01-D01-upstream	minus-native	19	-0.002462148666381836	0.0004229545593261719	0.04172086715698242	0.002885103225708008	0.04129791259765625	0.0024664742755486913	0.04168196144105483	0.00041777533799292055	-0.0003828531039128391	8.536121663960117e-07	-1.1957394857320391e-06
T01-D01-upstream	minus-native	20	0.04172086715698242	-0.01778942346572876	-0.02304995059967041	-0.05951029062271118	-0.00526052713394165	-0.06284320591007836	0.0003603706218907104	0.0033338130493253404	-0.00562268399966101	-8.977619581629348e-07	1.7862438286553317e-06
T01-D01-upstream	minus-native	21	-0.02304995059967041	0.09985494613647461	-0.12448620796203613	0.12290489673614502	-0.22434115409851074	0.11407863974610688	-0.2006141193139136	0.008824218737392031	-0.023726437785812626	2.0382526461082406e-06	-5.969987845189095e-07
T01-D01-upstream	minus-native	22	-0.12448620796203613	0.22651124000549316	0.01660323143005371	0.3509974479675293	-0.20990800857543945	0.378447365919359	-0.20902371168273826	-0.027446636544983694	-0.0008855181360465508	-3.2814068460229606e-06	1.221243345353451e-06
T01-D01-upstream	minus-native	23	0.01660323143005371	0.43348708748817444	2.5457586646080017	0.4168838560581207	2.1122715771198273	0.44477358382075827	2.1226629093721225	-0.02788956218519989	-0.010389145217249596	-1.655774376496666e-07	-2.1870350456754117e-06
T01-D01-upstream	minus-native	24	2.5457586646080017	2.3415098190307617	3.0434951782226562	-0.20424884557724	0.7019853591918945	0.10964519926096394	0.9213384908856389	-0.313895270464297	-0.21935479509328526	1.2256260930598728e-06	1.6633995409409685e-06
T01-D01-upstream	minus-native	25	3.0434951782226562	2.7100648880004883	2.4712700843811035	-0.33343029022216797	-0.23879480361938477	-0.224691447963894	-0.0231289067249687	-0.10874011634748455	-0.21566418379227198	1.2740892105927992e-06	-1.7131021440852656e-06
T01-D01-upstream	minus-native	26	2.4712700843811035	5.1359076499938965	3.613992691040039	2.664637565612793	-1.5219149589538574	2.7806871048666255	-0.9372510096056066	-0.11605116126181525	-0.5846616015451119	1.6220079826489986e-06	-2.3478031389023712e-06
T01-D01-upstream	minus-native	27	3.613992691040039	3.4898018836975098	3.7813186645507812	-0.1241908073425293	0.2915167808532715	-0.02726263761243075	0.5926361944678018	-0.09692802211234086	-0.3011217927415489	-1.4761775769117635e-07	2.379127018559135e-06
T01-D01-upstream	minus-native	28	3.7813186645507812	3.958902359008789	6.253538131713867	0.1775836944580078	2.294635772705078	0.31379952534356814	2.757342010929373	-0.13621455306525238	-0.4627040011307395	-1.277820307940547e-06	-2.2370935552629145e-06
T01-D01-upstream	minus-native	29	6.253538131713867	8.405417442321777	7.523188591003418	2.15187931060791	-0.8822288513183594	2.6105861645928887	-0.07891864294999262	-0.45871081735989516	-0.8033045386099393	3.963374916593487e-06	-5.6697584273623924e-06
T01-D01-upstream	minus-native	30	7.523188591003418	8.361604690551758	6.933874130249023	0.8384160995483398	-1.4277305603027344	1.2654492396388763	-0.30619485014452663	-0.4270327341930885	-1.1215372896806353	-4.0589744798591454e-07	1.5795224274361974e-06
T01-D01-upstream	minus-native	31	6.933874130249023	6.844346046447754	7.8205156326293945	-0.08952808380126953	0.9761695861816406	0.20262645130080476	1.6601979269950877	-0.2921561971730508	-0.6840292934456396	1.6620709765019503e-06	9.526321924913095e-07
T01-D01-upstream	minus-native	32	7.8205156326293945	7.913818359375	9.626646995544434	0.09330272674560547	1.7128286361694336	0.5973590570689069	2.175799388574001	-0.5040550440084393	-0.4629690658509791	-1.286314862142951e-06	-1.686553588564621e-06
T01-D01-upstream	minus-native	33	9.626646995544434	9.047473907470703	8.79431438446045	-0.5791730880737305	-0.2531595230102539	0.04562832388008531	0.6440597100473964	-0.6248008426095064	-0.8972237279320356	-5.693443092535944e-07	4.494874385363445e-06
