query_id	layer0	pre	mid	post	increment_attention	increment_mlp	branch_attention	branch_mlp	scale_attention	scale_mlp	remainder_attention	remainder_mlp
T01	0	0.0	0.0009995698928833008	-0.0016353726387023926	0.0009995698928833008	-0.0026349425315856934	0.0018615787888904833	-0.005927766927747158	-0.0008599512853857405	0.0032919242506177504	-2.057610621442052e-06	9.001455436585815e-07
T01	1	-0.0016353726387023926	0.08519721031188965	0.07187891006469727	0.08683258295059204	-0.013318300247192383	0.08797989425026631	0.0006182316305156088	-0.0011494583628443855	-0.013934641902712954	2.147063170115926e-06	-1.8899749950366737e-06
T01	2	0.07187891006469727	0.10304617881774902	0.10274243354797363	0.031167268753051758	-0.0003037452697753906	0.035235822723458154	0.012557350207925477	-0.004069040565384981	-0.012862225746704599	4.865949785846924e-07	1.130269003730977e-06
T01	3	0.10274243354797363	0.1214756965637207	0.10338211059570312	0.01873326301574707	-0.018093585968017578	0.026786328358624933	-0.0038835614865402324	-0.008053163625968182	-0.014207849627502683	9.828309031900684e-08	-2.1748539746624385e-06
T01	4	0.10338211059570312	0.11371898651123047	0.06769704818725586	0.010336875915527344	-0.04602193832397461	0.02207829395908889	-0.020038320818845934	-0.01174434464867069	-0.02598261562740467	2.926605109143665e-06	-1.0018777240050625e-06
T01	5	0.06769704818725586	0.10501241683959961	-0.008541107177734375	0.03731536865234375	-0.11355352401733398	0.04089266965881899	-0.09506588596404364	-0.0035769089836985984	-0.018487520054171314	-3.9202277664351914e-07	-1.1799911903143112e-07
T01	6	-0.008541107177734375	-0.0003094673156738281	-0.02445077896118164	0.008231639862060547	-0.024141311645507812	0.00792295302165591	-0.021906974403259533	0.0003077340013668828	-0.002232619306064748	9.528390377544493e-07	-1.7179361835317764e-06
T01	7	-0.02445077896118164	0.005664825439453125	0.037546634674072266	0.030115604400634766	0.03188180923461914	0.02854864934913781	0.03181742143262967	0.0015667386963926638	6.173567424003744e-05	2.1635510429052207e-07	2.652127749436478e-06
T01	8	0.037546634674072266	0.0422062873840332	0.04226875305175781	0.0046596527099609375	6.246566772460938e-05	0.005150194083872614	0.0036054366721112174	-0.0004893324473967228	-0.003543403224036401	-1.2089265149536725e-06	4.3221964979300864e-07
T01	9	0.04226875305175781	0.0758669376373291	0.0627601146697998	0.03359818458557129	-0.013106822967529297	0.03436813016854812	-0.010930023940850075	-0.00077040787121406	-0.0021750403204836566	4.622882372323778e-07	-1.7587061955648409e-06
T01	10	0.0627601146697998	0.05203509330749512	0.0033614635467529297	-0.010725021362304688	-0.04867362976074219	-0.012316911127443264	-0.05017180109275676	0.0015911040782803894	0.0014976151687059736	7.856868581871887e-07	5.561633086015316e-07
T01	11	0.0033614635467529297	-0.03822207450866699	-0.03958922624588013	-0.04158353805541992	-0.0013671517372131348	-0.037468894546927756	-0.006774240493918837	-0.0041151797081636155	0.005407667334560884	5.361996714491708e-07	-5.785778551814502e-07
T01	12	-0.03958922624588013	-0.07952016592025757	-0.0346778929233551	-0.03993093967437744	0.044842272996902466	-0.035526425501030134	0.04021789901939554	-0.004402868530127717	0.004623103331282044	-1.6456432195902093e-06	1.2706462248794279e-06
T01	13	-0.0346778929233551	-0.06995612382888794	-0.13791143894195557	-0.03527823090553284	-0.06795531511306763	-0.03651252670358118	-0.06940925786614205	0.00123513296929521	0.001453790838711281	-8.371712468639714e-07	1.5191436314107576e-07
T01	14	-0.13791143894195557	-0.0757211446762085	-0.1202859878540039	0.06219029426574707	-0.04456484317779541	0.05118002019287182	-0.04513624763222657	0.01101128599455925	0.0005706204572203527	-1.011921684002104e-06	7.839972108042437e-07
T01	15	-0.1202859878540039	-0.07632017135620117	0.003587484359741211	0.043965816497802734	0.07990765571594238	0.0443924022546377	0.07799797068603154	-0.0004279413354323423	0.0019105573786459135	1.3555785973794296e-06	-8.723487350675851e-07
T01	16	0.003587484359741211	0.023252248764038086	0.03467988967895508	0.019664764404296875	0.011427640914916992	0.019515187092397135	0.012082580006605448	0.00015008478393619892	-0.0006561268989847968	-5.07472036458817e-07	1.1878072963411324e-06
T01	17	0.03467988967895508	0.018925130367279053	0.038883745670318604	-0.015754759311676025	0.01995861530303955	-0.011902563413185518	0.018561549484971795	-0.003853286073587328	0.0013980603413962095	1.0901750968211887e-06	-9.945233284541777e-07
T01	18	0.038883745670318604	0.029220998287200928	0.016472697257995605	-0.009662747383117676	-0.012748301029205322	-0.0054349473226125156	-0.00967766772371803	-0.0042288946223760435	-0.003068803151766497	1.0945618708832483e-06	-1.8301537207943142e-06
T01	19	0.016472697257995605	0.028924942016601562	0.10697793960571289	0.012452244758605957	0.07805299758911133	0.016381425239482494	0.06687704116005408	-0.003929478705097134	0.01117633996677439	2.9822422059622156e-07	-3.8353771714128015e-07
T01	20	0.10697793960571289	0.05477416515350342	0.15708577632904053	-0.05220377445220947	0.10231161117553711	-0.04504562504886228	0.11161822512241577	-0.007156515933290419	-0.009308134540625429	-1.6334700567721683e-06	1.5205937467510644e-06
T01	21	0.15708577632904053	0.3672044277191162	-0.04920077323913574	0.21011865139007568	-0.41640520095825195	0.2190241453215973	-0.37228412227430413	-0.008907582970270944	-0.044120835769726474	2.0890387493199825e-06	-2.4291422134892215e-07
T01	22	-0.04920077323913574	0.24013233184814453	0.12880682945251465	0.2893331050872803	-0.11132550239562988	0.30948237382245236	-0.109880980911923	-0.020146679756377517	-0.0014448525779796328	-2.588978794570984e-06	3.310942727485777e-07
