job_id	layer0	pre	mid	post	attention_increment	mlp_increment	attention_branch	mlp_branch	attention_scale	mlp_scale	attention_rounding	mlp_rounding
J05-MPS-upstream	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05-MPS-upstream	18	0.0	-0.015030503273010254	-0.040500521659851074	-0.015030503273010254	-0.02547001838684082	-0.015490245867054497	-0.025281213607392328	0.0004591379582845334	-0.0001877906212182645	6.046357597100371e-07	-1.0141582302281016e-06
J05-MPS-upstream	19	-0.040500521659851074	0.003779888153076172	-0.005038738250732422	0.044280409812927246	-0.008818626403808594	0.039524591037979784	-0.0016305180008274467	0.004755658356608794	-0.007187740306874024	1.6041833866831112e-07	-3.6809610712285057e-07
J05-MPS-upstream	20	-0.005038738250732422	0.012988567352294922	0.02451300621032715	0.018027305603027344	0.011524438858032227	0.01411503761632743	0.013760285697610009	0.00391193349036334	-0.0022353294760647513	3.3449633651816413e-07	-5.173635130306664e-07
J05-MPS-upstream	21	0.02451300621032715	0.20606017112731934	0.14778053760528564	0.1815471649169922	-0.05827963352203369	0.187866546173296	-0.04804729219584747	-0.006319163562607422	-0.010232243358872517	-2.1769369640267655e-07	-9.796731370581568e-08
