condition,hate_gold_mass,hate_gold_nll,hate_gold_rank,group_gold_mass,group_gold_nll,group_gold_rank
C0,0.46101809374625946,2.870831066093003,1.5614307931570761,0.5851246943169527,5.252365066395534,2.119751166407465
CLnew,0.4837051199200072,3.4952959738975,1.5303265940902022,0.6443712708817241,4.851025993260039,1.931570762052877
CD,0.7171299666375621,0.7788912839592695,1.2628304821150855,0.6303460891583895,4.745310792147057,2.0031104199066876
CLDnew,0.6182977444634243,1.0173698465371492,1.3763608087091757,0.6433605658012138,4.382860594493841,1.849144634525661
CLnewNoCat,0.48259975330239113,3.6379404694156743,1.5241057542768273,0.5996842124658954,4.664389549577887,2.1321928460342146
CLDnewNoCat,0.6555062674134916,0.9142666236718223,1.3297045101088647,0.6699376853639881,4.075865869418273,1.8398133748055987
