condition,n,hate_accuracy,hate_precision,hate_recall,hate_f1,hate_macro_f1,group_micro_f1,group_macro_f1,group_exact_match,group_sample_f1,joint_exact_match,joint_correct
C0,643,0.4385692068429238,0.967741935483871,0.07692307692307693,0.14251781472684086,0.3625883871322066,0.610126582278481,0.5206130989162501,0.5909797822706065,0.6435977190254019,0.3265940902021773,210
CLnew,643,0.46967340590979784,1.0,0.12564102564102564,0.22323462414578588,0.4103186107741916,0.6543665436654367,0.5900426607084968,0.645412130637636,0.6903058579574909,0.37169517884914466,239
CD,643,0.7371695178849145,0.7517084282460137,0.8461538461538461,0.7961399276236429,0.7131684320831563,0.7082926829268292,0.6718776667384445,0.6314152410575428,0.689565281789232,0.536547433903577,345
CLDnew,643,0.6236391912908242,0.7936507936507936,0.5128205128205128,0.6230529595015576,0.6236382809930148,0.7223823246878002,0.6797666045462224,0.640746500777605,0.7012811967710879,0.4370139968895801,281
CLnewNoCat,643,0.4758942457231726,0.9818181818181818,0.13846153846153847,0.24269662921348314,0.4209915964141137,0.5799739921976593,0.49323782502562696,0.609642301710731,0.6521513737687922,0.37947122861586313,244
CLDnewNoCat,643,0.6702954898911353,0.7947019867549668,0.6153846153846154,0.6936416184971098,0.6683696307973764,0.7346534653465346,0.6812521952480817,0.671850699844479,0.7204250907205806,0.5023328149300156,323
